Timestamp,Sender,Recipient,Subject,Action,Reason
2024-12-17 16:25:51,admin@yourbank.com,irene@example.com,Project Update,Quarantined,Spam
2024-12-18 12:35:51,support@legitcompany.com,henry@example.com,Account Verification,Quarantined,-
2024-12-18 00:55:51,james.bond@example.com,irene@example.com,Important Document,Blocked,Phishing
2024-12-17 22:40:51,admin@yourbank.com,alice@example.com,Security Report,Blocked,Phishing
2024-12-17 20:41:51,malware@infectedsite.com,george@example.com,Newsletter,Quarantined,Phishing
2024-12-17 19:15:51,malware@infectedsite.com,bob@example.com,Project Update,Quarantined,-
2024-12-18 07:57:51,admin@yourbank.com,irene@example.com,Account Alert,Delivered,-
2024-12-18 05:23:51,spammer@anomaloussite.com,felix.leiter@example.com,Anomalous Activity,Blocked,Spam
2024-12-18 04:14:51,spammer@anomaloussite.com,dave@example.com,Anomalous Activity,Blocked,Spam
2024-12-17 22:51:51,spammer@anomaloussite.com,dave@example.com,Anomalous Activity,Blocked,Spam
2024-12-17 18:54:51,spammer@anomaloussite.com,henry@example.com,Anomalous Activity,Blocked,Spam
2024-12-18 14:50:51,spammer@anomaloussite.com,henry@example.com,Anomalous Activity,Blocked,Spam
